Tipo de Producto;Producto;Código Barras;SKU;Stock;Costo Neto Prom. Unitario;Costo Neto Prom. Total;Cantidad por Despachar;Cantidad Disponible;Por Recibir;Marca;Lista de Precios;Precio Venta Bruto;Margen Unitario
ABARROTES NO COMESTIBLES ;BASURERO - 15 LTS. TAPA VAIVEN;75992972705089;75992972705089;3;3105;9315;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;6250;2147,10
ABARROTES NO COMESTIBLES ;BASURERO - 30 LITROS GRIS C/TAPA OSCILANTE;1690552923989;1690552923989;3;9436;28308;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;18900;6446,35
ABARROTES NO COMESTIBLES ;BASURERO - 30 LTS. TAPA VAIVEN;75992977967979;75992977967979;17;5215;88655;0;17;0;;CLIENTE LOCAL ARCAM VIGENTE;10900;3944,66
ABARROTES NO COMESTIBLES ;BASURERO - 50 LITROS VERDE C/PEDAL;1599734895678;1599734895678;1;15017;15017;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;59000;34562,83
ABARROTES NO COMESTIBLES ;BASURERO - 60 LITROS C/PEDAL VERDE;1729621371915;1729621371915;2;17103;34206;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;31990;9779,35
ABARROTES NO COMESTIBLES ;BASURERO - 60 LITROS GRIS C/TAPA OSCILANTE;1690553387125;1690553387125;6;8480;50880;0;6;0;;CLIENTE LOCAL ARCAM VIGENTE;0,84;-8479,29
ABARROTES NO COMESTIBLES ;BASURERO - METAL 5 LITROS CON PEDAL;7809808054320;7809808054320;15;4200;63000;0;15;0;;CLIENTE LOCAL ARCAM VIGENTE;16400;9581,51
ABARROTES NO COMESTIBLES ;BASURERO - METAL 8 LITROS CON PEDAL;7528530012766;1709303620420;2;7921;15842;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;15700;5272,28
ABARROTES NO COMESTIBLES ;BASURERO - REJILLA NEGRO;1721772124047;1721772124047;1;2900;2900;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;11900;7100
DISPENSADOR ;BIDON PLASTICO - 20 LITROS C/LLAVE;1601295859552;1601295859552;1;12600;12600;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;30200;12778,15
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 AZUL 074 TALLA L;1606861205994;1606861205994;1;12292;12292;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;17876,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 AZUL 074 TALLA M;1606861198241;1606861198241;1;0;0;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;30168,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 AZUL 074 TALLA S;1606861189113;1606861189113;1;12292;12292;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;17876,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 BEIGE CLARO 030 TALLA L;1606861119475;1606861119475;1;0;0;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;30168,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 BEIGE CLARO 030 TALLA M;1606861113291;1606861113291;2;12292;24584;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;17876,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 BEIGE CLARO 030 TALLA S;1606861106904;1606861106903;1;0;0;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;30168,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 BEIGE CLARO 030 TALLA XL;1606861132656;1606861132656;2;12292;24584;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;17876,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 BEIGE CLARO 030 TALLA XS;1606861458527;1606861458527;2;12292;24584;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;17876,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 BEIGE CLARO 030 TALLA XXL;1606861141237;1606861141237;2;12292;24584;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;17876,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 BLANCO 001 TALLA S;1606860996893;1606860996893;1;12292;12292;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;17876,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 BLANCO 001 TALLA XL;1606861040976;1606861040976;1;12292;12292;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;17876,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 BLANCO 001 TALLA XS;1606861446097;1606861446097;1;12292;12292;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;17876,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 BLANCO 001 TALLA XXL;1606861049405;1606861049405;2;12292;24584;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;17876,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 KHAKI 092 TALLA L;1606861254294;1606861254294;2;11992;23984;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;18176,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 KHAKI 092 TALLA M;1606861247227;1606861247227;2;11992;23984;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;18176,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 KHAKI 092 TALLA S;1606861241466;1606861241466;2;11992;23984;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;18176,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 KHAKI 092 TALLA XL;1606861260637;1606861260637;2;11992;23984;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;18176,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 KHAKI 092 TALLA XS;1606861378128;1606861378128;2;11992;23984;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;18176,07
ROPA CORPORATIVA;BLUSA - CONTINUATIVA KANNÚ M/L COD.35200 KHAKI 092 TALLA XXL;1606861269061;1606861269061;2;11992;23984;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;35900;18176,07
ROPA CORPORATIVA;BLUSA - DENIM 2 BOLSILLOS COD.35620 AZUL 084 TALLA L;1606946424823;1606946424823;2;8238;16476;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;19600;8232,59
ROPA CORPORATIVA;BLUSA - DENIM 2 BOLSILLOS COD.35620 AZUL 084 TALLA M;1606946417156;1606946417155;6;5956,33;35738;0;6;0;;CLIENTE LOCAL ARCAM VIGENTE;19600;10514,26
ROPA CORPORATIVA;BLUSA - DENIM 2 BOLSILLOS COD.35620 AZUL 084 TALLA XL;1606946431354;1606946431354;1;8238;8238;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;19600;8232,59
ROPA CORPORATIVA;BLUSA - DENIM 2 BOLSILLOS COD.35620 AZUL 084 TALLA XS;1606946400388;1606946400388;1;0;0;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;19600;16470,59
ROPA CORPORATIVA;BLUSA - DENIM 2 BOLSILLOS COD.35620 AZUL 084 TALLA XXL;1606946438922;1606946438922;3;8238;24714;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;19600;8232,59
